Player,Number,Matches
John Isner,900,42
Reilly Opelka,851,36
Daniil Medvedev,539,58
Nick Kyrgios,478,28
Milos Raonic,476,26
Ivo Karlovic,470,20
Sam Querrey,448,27
Stefanos Tsitsipas,441,54
Denis Shapovalov,403,48
Alexander Zverev,396,38
Jan-Lennard Struff,376,34
Jo-Wilfried Tsonga,376,32
Stan Wawrinka,356,35
Benoit Paire,354,36
Jeremy Chardy,333,30
Matteo Berrettini,325,36
Taylor Fritz,316,33
Alexander Bublik,308,18
Roger Federer,305,40
Gael Monfils,301,41
Marin Cilic,281,28
Karen Khachanov,273,33
Andrey Rublev,264,43
Hubert Hurkacz,258,35
Marius Copil,247,22
Novak Djokovic,241,40
Borna Coric,236,28
David Goffin,230,36
Fernando Verdasco,230,27
Grigor Dimitrov,226,30
Frances Tiafoe,225,37
Nikoloz Basilashvili,220,32
Lucas Pouille,216,27
Adrian Mannarino,213,38
Ugo Humbert,197,25
Feliciano Lopez,197,16
Aljaz Bedene,194,15
Felix Auger-Aliassime,192,22
Alexei Popyrin,190,23
Alex de Minaur,189,47
Dominic Thiem,187,35
Jordan Thompson,181,31
Tennys Sandgren,177,20
Lloyd Harris,176,16
Andreas Seppi,176,27
Filip Krajinovic,169,30
John Millman,162,30
Rafael Nadal,162,30
Roberto Bautista Agut,159,37
Pablo Carreno Busta,159,33
Cameron Norrie,154,29
Pierre-Hugues Herbert,153,23
Joao Sousa,153,23
Andy Murray,147,17
Kevin Anderson,145,10
Radu Albot,144,40
Tomas Berdych,144,21
Peter Gojowczyk,139,22
Kyle Edmund,137,22
Steve Johnson,137,19
Guido Pella,137,21
Gilles Simon,133,32
Egor Gerasimov,129,14
Fabio Fognini,126,26
Nicolas Jarry,126,10
Denis Kudla,122,18
Robin Haase,121,17
Bernard Tomic,117,11
Ernests Gulbis,116,13
Bradley Klahn,116,12
Marco Cecchinato,112,15
Dusan Lajovic,111,23
Miomir Kecmanovic,110,33
Ilya Ivashka,103,15
Daniel Evans,101,27
Richard Gasquet,99,16
Marton Fucsovics,98,25
Diego Schwartzman,94,35
Cristian Garin,91,20
Ryan Harrison,91,8
Leonardo Mayer,91,12
Brayden Schnur,90,10
Philipp Kohlschreiber,89,18
Matthew Ebden,86,12
Lorenzo Sonego,84,13
Kei Nishikori,81,23
Mikhail Kukushkin,79,29
Laslo Djere,75,12
Hyeon Chung,74,14
Pablo Cuevas,72,12
Stefano Travaglia,71,6
Maximilian Marterer,68,8
Vasek Pospisil,68,7
Christopher Eubanks,67,6
Ricardas Berankis,66,16
Marcel Granollers,66,10
Mackenzie McDonald,65,15
Jannik Sinner,64,13
Prajnesh Gunneswaran,63,12
Yoshihito Nishioka,63,27
Gregoire Barrere,62,9
Juan Ignacio Londero,62,11
Jiri Vesely,62,6
Albert Ramos-Vinolas,61,19
Evgeny Donskoy,60,9
Paolo Lorenzi,59,9
Henri Laaksonen,58,7
Yasutaka Uchiyama,58,6
Casper Ruud,57,14
Martin Klizan,56,13
Alex Bolt,52,6
Kamil Majchrzak,52,6
Denis Istomin,51,8
Janko Tipsarevic,50,9
Guillermo Garcia-Lopez,48,12
Jaume Munar,48,9
Jack Sock,48,5
Ramkumar Ramanathan,46,4
Roberto Carballes Baena,45,13
Taro Daniel,41,11
Bjorn Fratangelo,41,8
Thanasi Kokkinakis,41,6
Zhizhen Zhang,39,5
Steve Darcis,38,10
Federico Delbonis,38,8
Damir Dzumhur,36,22
Cedrik-Marcel Stebe,35,8
Guido Andreozzi,34,7
Dominik Koepfer,34,6
Juan Martin del Potro,33,3
Marcos Baghdatis,32,5
Thomas Fabbiano,32,12
Soonwoo Kwon,32,11
Antoine Hoang,31,9
Matthias Bachinger,29,4
Sergiy Stakhovsky,29,4
Viktor Troicki,28,3
Mischa Zverev,28,5
Pablo Andujar,26,16
James Duckworth,26,3
Luca Vanni,25,1
Malek Jaziri,24,8
Jason Jung,22,7
Thiago Monteiro,22,4
Marcos Giron,21,5
Lukas Lacko,21,4
Lukas Rosol,21,3
Oscar Otte,20,2
Mikael Ymer,20,6
Ernesto Escobedo,19,1
Yannick Maden,19,5
Jared Donaldson,18,3
Norbert Gombos,17,3
Daniel Brands,16,2
David Ferrer,15,7
Tommy Paul,15,4
Jenson Brooksby,14,2
Jason Kubler,14,1
Hugo Dellien,13,4
Tatsuma Ito,13,3
Gianluca Mager,13,2
Peter Polansky,13,3
Alen Avidzba,12,2
Jozef Kovalik,12,3
Corentin Moutet,12,6
Marc Polmans,12,3
Yuichi Sugita,12,5
Ze Zhang,12,2
Zhe Li,11,4
Michael Mmoh,11,3
Rayane Roumane,11,1
Mirza Basic,10,2
Federico Gaio,10,1
Duckhee Lee,10,2
Nicolas Mahut,10,1
Dennis Novak,10,2
Tim Smyczek,10,3
Go Soeda,10,2
Alejandro Davidovich Fokina,9,3
Thai-Son Kwiatkowski,9,1
Rudolf Molleker,9,1
Di Wu,9,2
Elliot Benchetrit,8,1
Kevin King,8,2
Yan Bai,7,1
Chun-Hsin Tseng,7,1
Yosuke Watanuki,7,1
Elias Ymer,7,2
Arjun Kadhe,6,1
Dimitar Kuzmanov,6,1
Constant Lestienne,6,1
Gerardo Lopez Villasenor,6,1
Adrian Menendez-Maceiras,6,2
Nikola Milojevic,6,2
Rubin Statham,6,2
Mubarak Shannan Zayid,6,1
Simone Bolelli,5,3
Salvatore Caruso,5,2
Franko Skugor,5,1
Maxime Janvier,4,1
